support,itemsets_str
0.11941056910569106,"col_type=수치형, dom_sim_bucket=중유사(0.1-0.3)"
0.1193089430894309,"dom_sim_bucket=최고유사(0.6+), domain_spread=대공유(21+)"
0.11920731707317073,"cate1=교육, domain_spread=대공유(21+), val_sim_bucket=낮은값유사"
0.11890243902439024,"cate1=교육, cate2=고등교육, col_cnt_bucket=초풍부(21+), dom_sim_bucket=낮은유사(0-0.1), rec_bucket=중(101-1k)"
0.11890243902439024,"cate2=고등교육, col_cnt_bucket=초풍부(21+), dom_sim_bucket=낮은유사(0-0.1), rec_bucket=중(101-1k)"
0.11880081300813009,"col_type=수치형, domain_spread=대공유(21+), pk_bucket=최고PK(0.9+)"
0.11839430894308943,"cate2=고등교육, col_cnt_bucket=초풍부(21+), col_type=수치형, dom_sim_bucket=낮은유사(0-0.1)"
0.11839430894308943,"cate1=교육, cate2=고등교육, col_cnt_bucket=초풍부(21+), col_type=수치형, dom_sim_bucket=낮은유사(0-0.1)"
0.11829268292682926,"cate1=교육, col_type=수치형, domain_spread=대공유(21+), val_sim_bucket=높은값유사"
0.11819105691056911,"cate1=교육, col_cnt_bucket=풍부(11-20)"
0.11808943089430894,"col_cnt_bucket=풍부(11-20), pk_bucket=저PK(0-0.3)"
0.11798780487804877,"dom_sim_bucket=높은유사(0.3-0.6), domain_spread=대공유(21+)"
0.11788617886178862,"cate2=고등교육, col_cnt_bucket=초풍부(21+), col_type=수치형, dom_sim_bucket=낮은유사(0-0.1), rec_bucket=중(101-1k)"
0.11788617886178862,"cate1=교육, cate2=고등교육, col_cnt_bucket=초풍부(21+), col_type=수치형, dom_sim_bucket=낮은유사(0-0.1), rec_bucket=중(101-1k)"
0.11778455284552845,"cate1=교육, cate2=고등교육, col_cnt_bucket=초풍부(21+), col_type=수치형, dom_sim_bucket=낮은유사(0-0.1), domain_spread=대공유(21+)"
0.11778455284552845,"cate2=고등교육, col_cnt_bucket=초풍부(21+), col_type=수치형, dom_sim_bucket=낮은유사(0-0.1), domain_spread=대공유(21+)"
0.11768292682926829,"cate1=교육, cate2=고등교육, col_cnt_bucket=초풍부(21+), dom_sim_bucket=낮은유사(0-0.1), domain_spread=대공유(21+), rec_bucket=중(101-1k)"
0.11768292682926829,"cate2=고등교육, col_cnt_bucket=초풍부(21+), dom_sim_bucket=낮은유사(0-0.1), domain_spread=대공유(21+), rec_bucket=중(101-1k)"
0.1173780487804878,"col_type=범주형, dom_sim_bucket=낮은유사(0-0.1), rec_bucket=소(≤100)"
0.1173780487804878,"cate1=교육, cate2=고등교육, col_cnt_bucket=초풍부(21+), col_type=수치형, dom_sim_bucket=낮은유사(0-0.1), domain_spread=대공유(21+), rec_bucket=중(101-1k)"
0.1173780487804878,"domain_spread=대공유(21+), pk_bucket=저PK(0-0.3), val_sim_bucket=높은값유사"
